ID,Phrase,Topic
77,William has a genuine interest in classical literature.,X is interested in Y
78,Amelia is passionate about social justice and activism.,X is interested in Y
79,Lucas is interested in exploring the field of artificial intelligence.,X is interested in Y
80,Sarah likes to stargaze at night.,At night X likes to Y
81,James enjoys reading books before bed.,At night X likes to Y
82,Emma loves to take long walks under the moonlight.,At night X likes to Y
83,David enjoys watching movies late into the night.,At night X likes to Y
84,Olivia finds solace in practicing yoga before sleeping.,At night X likes to Y
85,Michael likes to play video games during the nighttime.,At night X likes to Y
86,Sophia enjoys writing in her journal before going to sleep.,At night X likes to Y
87,Ethan likes to listen to music and unwind at night.,At night X likes to Y
88,Ava finds relaxation in taking a warm bath before bedtime.,At night X likes to Y
89,Liam loves to have deep conversations with friends late at night.,At night X likes to Y
90,Mia enjoys painting and creating artwork during nighttime.,At night X likes to Y
91,Noah finds pleasure in stargazing and identifying constellations.,At night X likes to Y
92,Harper likes to curl up with a good book and a cup of tea at night.,At night X likes to Y
93,Benjamin enjoys solving puzzles and brain teasers before bed.,At night X likes to Y
94,Isabella likes to practice meditation and mindfulness before sleeping.,At night X likes to Y
95,Alexander enjoys playing musical instruments in the quiet of the night.,At night X likes to Y
96,Charlotte likes to watch documentaries and expand her knowledge at night.,At night X likes to Y
97,William enjoys writing poetry and reflecting on his day during nighttime.,At night X likes to Y
98,Amelia finds joy in knitting or doing crafts before bedtime.,At night X likes to Y
99,Lucas likes to take pictures of the stars.,At night X likes to Y
100,Sarah's favorite animal is a dolphin.,X's favourite animal is Y
101,James adores dogs and considers them his favorite animal.,X's favourite animal is Y
102,Emma has a soft spot for elephants and considers them her favorite animal.,X's favourite animal is Y
103,David is fascinated by lions and considers them his favorite animal.,X's favourite animal is Y
104,Olivia's favorite animal is the owl.,X's favourite animal is Y
105,Michael's favorite animal is the tiger.,X's favourite animal is Y
106,Sophia has a deep affection for horses and considers them her favorite animal.,X's favourite animal is Y
107,Ethan finds pandas adorable and considers them his favorite animal.,X's favourite animal is Y
108,Ava's favorite animal is the dolphin.,X's favourite animal is Y
109,Liam is a big fan of wolves and considers them his favorite animal.,X's favourite animal is Y
110,Mia's favorite animal is the giraffe.,X's favourite animal is Y
111,Noah's favorite animal is the cheetah.,X's favourite animal is Y
112,Harper has a fondness for butterflies and considers them her favorite animal.,X's favourite animal is Y
113,Benjamin's favorite animal is the eagle.,X's favourite animal is Y
114,Isabella adores cats and considers them her favorite animal.,X's favourite animal is Y
115,Alexander's favorite animal is the shark.,X's favourite animal is Y
116,Charlotte's favorite animal is the turtle.,X's favourite animal is Y
117,William finds penguins fascinating.,X's favourite animal is Y
118,Amelia's favorite animal is the koala.,X's favourite animal is Y
119,Lucas's favorite animal is the gorilla.,X's favourite animal is Y
